  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.89014165e-04   4.83565647e-05   1.00442059e+01   1.48315011e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.34862454e-04   1.08432675e-04   7.77177295e+00   1.32021080e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.75963409e-03   1.72616469e-04   6.78313640e+00   1.23091270e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.71598427e-03   2.25758340e-04   6.21078926e+00   1.16959035e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.79078559e-03   2.63387284e-04   5.83237267e+00   1.12305718e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   4.95352557e-03   2.61256884e-04   5.56709514e+00   1.08567510e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   6.20065766e-03   2.10259551e-04   5.36921674e+00   1.05419183e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   7.55397833e-03   1.19883863e-04   5.21372310e+00   1.02732332e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   9.09124838e-03   3.33543116e-05   5.08679278e+00   1.00473084e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.08856089e-02  -1.28920272e-05   4.98616231e+00   9.85967244e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.29383302e-02  -1.66846998e-05   4.90880628e+00   9.70159807e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   1.51923238e-02   6.70076094e-06   4.85302662e+00   9.56704269e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   1.76120503e-02   5.92239214e-05   4.81233469e+00   9.45302502e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.01893153e-02   1.42110627e-04   4.78302634e+00   9.35632212e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   2.28677814e-02   2.17822580e-04   4.76545208e+00   9.26943169e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   2.55488945e-02   2.40627040e-04   4.75621579e+00   9.18379003e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   2.82021841e-02   2.09218110e-04   4.74641123e+00   9.10034415e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   3.09033011e-02   1.52229230e-04   4.73159467e+00   9.02653689e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   3.37577654e-02   8.40009865e-05   4.71486452e+00   8.96562237e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   3.68138731e-02   1.17830125e-05   4.70255154e+00   8.91377298e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   4.00433479e-02  -4.19944925e-05   4.69782879e+00   8.86590766e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   4.34087636e-02  -5.04838077e-05   4.69924364e+00   8.82202957e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   4.69178448e-02  -4.32306813e-06   4.70514872e+00   8.78548163e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   5.05603006e-02   7.50183254e-05   4.71772457e+00   8.75376572e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   5.42401220e-02   1.47734347e-04   4.73854718e+00   8.71864726e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   5.78569732e-02   1.93136452e-04   4.76182517e+00   8.67731880e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   6.14038641e-02   2.12778429e-04   4.78050672e+00   8.63411952e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   6.49209873e-02   1.97049814e-04   4.79376926e+00   8.59189182e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   6.84248404e-02   1.33557387e-04   4.80463346e+00   8.54901352e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   7.19333247e-02   4.42660455e-05   4.81265599e+00   8.50794014e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   7.55019316e-02  -2.69267281e-05   4.81881925e+00   8.47435810e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   7.91938338e-02  -5.55468950e-05   4.82614526e+00   8.45023358e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   8.30250448e-02  -4.38913803e-05   4.83933398e+00   8.43279646e+00
