  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   3.65155266e-04   5.72518477e-05   1.03143861e+01   1.52998194e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.17317219e-03   1.19168288e-04   7.79718223e+00   1.33457895e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.17157926e-03   1.86677296e-04   6.77667939e+00   1.24121730e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.29016147e-03   2.37355418e-04   6.19727276e+00   1.17898322e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.51946171e-03   2.73354209e-04   5.81750463e+00   1.13282936e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   5.82273936e-03   2.64116417e-04   5.55221242e+00   1.09524396e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.20022263e-03   2.04722920e-04   5.35386015e+00   1.06443528e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   8.69774520e-03   1.06287687e-04   5.19729683e+00   1.03804915e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.04382667e-02   1.79898553e-05   5.07054127e+00   1.01612970e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.25105550e-02  -2.31491645e-05   4.97151448e+00   9.97901441e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.48742531e-02  -1.97438265e-05   4.90298689e+00   9.82922895e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   1.74146950e-02   9.67985615e-06   4.85760379e+00   9.69723671e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.00902459e-02   6.76669514e-05   4.82523639e+00   9.58501110e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.29171470e-02   1.56307839e-04   4.80333673e+00   9.49372554e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   2.58330463e-02   2.32466133e-04   4.79320487e+00   9.41359409e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   2.87202141e-02   2.47917322e-04   4.78954483e+00   9.33502511e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   3.15596991e-02   2.06831498e-04   4.78304961e+00   9.25838461e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   3.44442475e-02   1.43509276e-04   4.77104239e+00   9.18917223e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   3.74755023e-02   7.18974341e-05   4.75826165e+00   9.12918361e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   4.07032273e-02  -1.80598907e-06   4.75034184e+00   9.07709507e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   4.41119917e-02  -5.33115572e-05   4.75076151e+00   9.03068885e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   4.76659634e-02  -5.48780874e-05   4.75886616e+00   8.98932243e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   5.13604948e-02   7.36955994e-07   4.77284140e+00   8.95457259e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   5.51603976e-02   8.72631166e-05   4.79488048e+00   8.92444626e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   5.89370445e-02   1.61056252e-04   4.82396810e+00   8.89156245e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   6.25821558e-02   2.02920868e-04   4.85158266e+00   8.85255368e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   6.61216984e-02   2.17937186e-04   4.87056219e+00   8.81246927e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   6.96391883e-02   1.96088902e-04   4.88232721e+00   8.77404191e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   7.31689466e-02   1.24409519e-04   4.89157257e+00   8.73513737e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   7.67176141e-02   2.93999069e-05   4.89969511e+00   8.69562156e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   8.03292882e-02  -4.07673755e-05   4.90706668e+00   8.66031765e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   8.40777299e-02  -6.31987188e-05   4.91647362e+00   8.63346546e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   8.79903381e-02  -4.43093953e-05   4.93310939e+00   8.61440242e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   9.19950122e-02   4.62479944e-06   4.96026519e+00   8.59806839e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   9.59656849e-02   7.67526875e-05   4.99468584e+00   8.58076933e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   9.98271566e-02   1.56747519e-04   5.02841157e+00   8.56152316e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   1.03587287e-01   2.11765353e-04   5.05671109e+00   8.54196220e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.07264725e-01   2.11636199e-04   5.08017620e+00   8.52084535e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.10853849e-01   1.58906551e-04   5.09963791e+00   8.49689851e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.14387037e-01   8.43085708e-05   5.11412779e+00   8.47270518e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.17957395e-01   1.26801870e-05   5.12533378e+00   8.45335697e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.21640283e-01  -4.68786803e-05   5.13941062e+00   8.43962389e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.25427304e-01  -7.81707904e-05   5.16214771e+00   8.43039996e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.29246623e-01  -5.78783216e-05   5.19399630e+00   8.42413580e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.33027721e-01   1.19595382e-05   5.23166951e+00   8.42006892e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.36733991e-01   9.71440569e-05   5.27105788e+00   8.41773046e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.40326328e-01   1.62721410e-04   5.31033938e+00   8.41316580e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.43730587e-01   1.94060090e-04   5.34792200e+00   8.40376785e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.46897473e-01   1.88943583e-04   5.37873874e+00   8.38899123e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.49878541e-01   1.45648411e-04   5.39876553e+00   8.37255084e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.52786525e-01   6.85022716e-05   5.41162030e+00   8.35842267e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.55689979e-01  -1.74904483e-05   5.42522884e+00   8.34804930e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.58585636e-01  -7.36500729e-05   5.44424344e+00   8.34054021e+00
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.61450288e-01  -7.87281179e-05   5.46913168e+00   8.33704661e+00
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.64267301e-01  -4.16195570e-05   5.49852206e+00   8.33769938e+00
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.66998235e-01   2.01487216e-05   5.53198623e+00   8.33911837e+00
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.69564251e-01   9.49846598e-05   5.56794573e+00   8.33904812e+00
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.71885475e-01   1.64649141e-04   5.60144902e+00   8.33595884e+00
