  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.89624488e-04   4.92023755e-05   8.85607339e+00   1.47035343e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.34810662e-04   1.08531731e-04   6.88823915e+00   1.30614623e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.75981121e-03   1.73190201e-04   6.02836937e+00   1.21667209e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.71601805e-03   2.25991067e-04   5.52763440e+00   1.15541141e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.79072605e-03   2.63852522e-04   5.19721842e+00   1.10908147e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   4.95355011e-03   2.61527621e-04   4.96540841e+00   1.07193264e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   6.20051766e-03   2.10655173e-04   4.79186939e+00   1.04069148e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   7.55361181e-03   1.20216519e-04   4.65497845e+00   1.01405931e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   9.09018856e-03   3.36989136e-05   4.54354898e+00   9.91721325e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.08837232e-02  -1.26550490e-05   4.45602171e+00   9.73231383e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.29358485e-02  -1.64459150e-05   4.38978104e+00   9.57724579e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   1.51894443e-02   6.93078148e-06   4.34324382e+00   9.44550114e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   1.76088447e-02   5.94149439e-05   4.31046642e+00   9.33428949e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.01858015e-02   1.42264410e-04   4.28787485e+00   9.24033618e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   2.28647189e-02   2.18010795e-04   4.27587006e+00   9.15593776e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   2.55468544e-02   2.40901131e-04   4.27041116e+00   9.07243233e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   2.82010516e-02   2.09560784e-04   4.26367649e+00   8.99071369e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   3.09021533e-02   1.52574738e-04   4.25216647e+00   8.91846367e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   3.37558525e-02   8.43172363e-05   4.23934618e+00   8.85898897e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   3.68110953e-02   1.20925113e-05   4.23102807e+00   8.80888061e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   4.00401423e-02  -4.17190586e-05   4.23026555e+00   8.76295451e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   4.34052963e-02  -5.03204268e-05   4.23524736e+00   8.72106513e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   4.69139338e-02  -4.28112787e-06   4.24464484e+00   8.68648152e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   5.05565629e-02   7.50407220e-05   4.26054403e+00   8.65685280e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   5.42379735e-02   1.47825064e-04   4.28366487e+00   8.62376446e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   5.78570958e-02   1.93287088e-04   4.30811696e+00   8.58423674e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   6.14057886e-02   2.12961511e-04   4.32794272e+00   8.54242586e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   6.49243184e-02   1.97317181e-04   4.34277984e+00   8.50152014e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   6.84295465e-02   1.33940474e-04   4.35489779e+00   8.45995060e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   7.19389107e-02   4.46811485e-05   4.36467013e+00   8.41998402e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   7.55073192e-02  -2.66117860e-05   4.37288999e+00   8.38759961e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   7.91982284e-02  -5.53877812e-05   4.38270780e+00   8.36476737e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   8.30287608e-02  -4.38358321e-05   4.39873357e+00   8.34891466e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   8.69410417e-02  -1.18765166e-06   4.42320315e+00   8.33504022e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   9.08298598e-02   6.59018659e-05   4.45369413e+00   8.31860811e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   9.46244639e-02   1.43258029e-04   4.48424391e+00   8.29969941e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   9.83322062e-02   2.00543058e-04   4.51075143e+00   8.28059226e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.01978766e-01   2.08054332e-04   4.53389517e+00   8.26173474e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.05554072e-01   1.64458657e-04   4.55506611e+00   8.24058323e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.09059579e-01   9.56781231e-05   4.57241924e+00   8.21873625e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.12557145e-01   2.56010645e-05   4.58623903e+00   8.20175570e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.16124549e-01  -3.50135709e-05   4.60018713e+00   8.19249186e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.19785886e-01  -7.02152254e-05   4.61953378e+00   8.18951178e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.23503560e-01  -5.76295384e-05   4.64635526e+00   8.19064843e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.27222954e-01   3.51417448e-06   4.67909116e+00   8.19372225e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.30903265e-01   8.39520081e-05   4.71552708e+00   8.19672173e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.34496414e-01   1.50459958e-04   4.75272153e+00   8.19603573e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.37931575e-01   1.86431378e-04   4.78876821e+00   8.18871167e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.41168550e-01   1.87399776e-04   4.82014944e+00   8.17767213e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.44251697e-01   1.50811722e-04   4.84322673e+00   8.16567688e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.47270059e-01   7.99605078e-05   4.86122080e+00   8.15828757e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.50274589e-01  -2.99556231e-06   4.87989112e+00   8.15450734e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.53259203e-01  -6.19672070e-05   4.90203391e+00   8.15356438e+00
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.56202875e-01  -7.43961221e-05   4.92795085e+00   8.15539895e+00
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.59096225e-01  -4.49761319e-05   4.95747160e+00   8.16136826e+00
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.61922201e-01   1.12773181e-05   4.99018961e+00   8.16911240e+00
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.64627745e-01   8.28301948e-05   5.02592996e+00   8.17560169e+00
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.67135771e-01   1.52187178e-04   5.06131931e+00   8.17673716e+00
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.69399189e-01   1.91158398e-04   5.09114692e+00   8.17193840e+00
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.71436064e-01   1.79858885e-04   5.11245355e+00   8.16345906e+00
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.73300565e-01   1.24719398e-04   5.12680526e+00   8.15488717e+00
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.75037962e-01   5.10059592e-05   5.13780060e+00   8.14859914e+00
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.76688189e-01  -1.73397495e-05   5.14758579e+00   8.14616942e+00
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.78302653e-01  -6.49159807e-05   5.15844495e+00   8.14958555e+00
 6.50000000e-01   0.00000000e+00   1.00000000e+00   1.79910994e-01  -7.82788208e-05   5.17370445e+00   8.15854998e+00
 6.60000000e-01   0.00000000e+00   1.00000000e+00   1.81475992e-01  -4.67581013e-05   5.19585924e+00   8.16938728e+00
 6.70000000e-01   0.00000000e+00   1.00000000e+00   1.82913466e-01   2.32223889e-05   5.22223505e+00   8.17740786e+00
 6.80000000e-01   0.00000000e+00   1.00000000e+00   1.84159574e-01   1.03044974e-04   5.24783290e+00   8.18228437e+00
 6.90000000e-01   0.00000000e+00   1.00000000e+00   1.85203505e-01   1.60890597e-04   5.26891605e+00   8.18433283e+00
 7.00000000e-01   0.00000000e+00   1.00000000e+00   1.86059149e-01   1.81840946e-04   5.28471408e+00   8.18404762e+00
 7.10000000e-01   0.00000000e+00   1.00000000e+00   1.86730873e-01   1.65189717e-04   5.29600211e+00   8.18054952e+00
 7.20000000e-01   0.00000000e+00   1.00000000e+00   1.87225841e-01   1.13936934e-04   5.30256539e+00   8.17451648e+00
 7.30000000e-01   0.00000000e+00   1.00000000e+00   1.87587256e-01   3.86077851e-05   5.30462078e+00   8.16917140e+00
 7.40000000e-01   0.00000000e+00   1.00000000e+00   1.87885244e-01  -3.51422417e-05   5.32416658e+00   8.16880251e+00
 7.50000000e-01   0.00000000e+00   1.00000000e+00   1.88163849e-01  -7.71730831e-05   5.32533281e+00   8.16703178e+00
 7.60000000e-01   0.00000000e+00   1.00000000e+00   1.88408474e-01  -7.23815980e-05   5.32848638e+00   8.16985093e+00
 7.70000000e-01   0.00000000e+00   1.00000000e+00   1.88566141e-01  -2.78096042e-05   5.33480928e+00   8.17397984e+00
 7.80000000e-01   0.00000000e+00   1.00000000e+00   1.88580389e-01   3.89789189e-05   5.34087910e+00   8.17754120e+00
 7.90000000e-01   0.00000000e+00   1.00000000e+00   1.88401890e-01   1.10293061e-04   5.34426984e+00   8.17923017e+00
 8.00000000e-01   0.00000000e+00   1.00000000e+00   1.87986969e-01   1.66907133e-04   5.34334607e+00   8.17862524e+00
 8.10000000e-01   0.00000000e+00   1.00000000e+00   1.87313246e-01   1.86955883e-04   5.33537497e+00   8.17441258e+00
 8.20000000e-01   0.00000000e+00   1.00000000e+00   1.86406296e-01   1.58853927e-04   5.31932973e+00   8.16566535e+00
 8.30000000e-01   0.00000000e+00   1.00000000e+00   1.85335706e-01   9.39724060e-05   5.34997252e+00   8.15290302e+00
 8.40000000e-01   0.00000000e+00   1.00000000e+00   1.84172082e-01   1.94679706e-05   5.35107222e+00   8.15242575e+00
 8.50000000e-01   0.00000000e+00   1.00000000e+00   1.82941358e-01  -4.11157910e-05   5.34571275e+00   8.15682486e+00
 8.60000000e-01   0.00000000e+00   1.00000000e+00   1.81635321e-01  -7.25122333e-05   5.34175839e+00   8.16193293e+00
 8.70000000e-01   0.00000000e+00   1.00000000e+00   1.80249631e-01  -6.52927863e-05   5.33906659e+00   8.16857093e+00
 8.80000000e-01   0.00000000e+00   1.00000000e+00   1.78780273e-01  -1.69908231e-05   5.33871063e+00   8.17724213e+00
 8.90000000e-01   0.00000000e+00   1.00000000e+00   1.77191645e-01   5.85568897e-05   5.34029860e+00   8.18498298e+00
 9.00000000e-01   0.00000000e+00   1.00000000e+00   1.75420498e-01   1.32839373e-04   5.34149333e+00   8.18724795e+00
 9.10000000e-01   0.00000000e+00   1.00000000e+00   1.73422788e-01   1.78400358e-04   5.33815017e+00   8.18331265e+00
 9.20000000e-01   0.00000000e+00   1.00000000e+00   1.71210303e-01   1.83205965e-04   5.32699014e+00   8.17498364e+00
 9.30000000e-01   0.00000000e+00   1.00000000e+00   1.68838688e-01   1.49796964e-04   5.30865927e+00   8.16524570e+00
 9.40000000e-01   0.00000000e+00   1.00000000e+00   1.66371768e-01   8.77529938e-05   5.28586598e+00   8.15688417e+00
 9.50000000e-01   0.00000000e+00   1.00000000e+00   1.63863254e-01   1.34952737e-05   5.26168527e+00   8.15100815e+00
 9.60000000e-01   0.00000000e+00   1.00000000e+00   1.61355919e-01  -4.78401222e-05   5.23862362e+00   8.14901509e+00
 9.70000000e-01   0.00000000e+00   1.00000000e+00   1.58871800e-01  -7.15423865e-05   5.21918646e+00   8.15173657e+00
 9.80000000e-01   0.00000000e+00   1.00000000e+00   1.56392113e-01  -4.90317737e-05   5.20514476e+00   8.15656620e+00
 9.90000000e-01   0.00000000e+00   1.00000000e+00   1.53858886e-01   8.48045989e-06   5.19613024e+00   8.16109732e+00
 1.00000000e+00   0.00000000e+00   1.00000000e+00   1.51211364e-01   8.05943003e-05   5.18846443e+00   8.16272547e+00
 1.01000000e+00   0.00000000e+00   1.00000000e+00   1.48421815e-01   1.47110989e-04   5.17884719e+00   8.16129608e+00
 1.02000000e+00   0.00000000e+00   1.00000000e+00   1.45494200e-01   1.88797339e-04   5.16527903e+00   8.15727903e+00
 1.03000000e+00   0.00000000e+00   1.00000000e+00   1.42440305e-01   1.89735098e-04   5.14742633e+00   8.14858828e+00
 1.04000000e+00   0.00000000e+00   1.00000000e+00   1.39275224e-01   1.46808941e-04   5.12526524e+00   8.13690872e+00
 1.05000000e+00   0.00000000e+00   1.00000000e+00   1.36037141e-01   7.59538012e-05   5.09927795e+00   8.12468129e+00
 1.06000000e+00   0.00000000e+00   1.00000000e+00   1.32790994e-01   4.24620390e-06   5.07019252e+00   8.11511674e+00
 1.07000000e+00   0.00000000e+00   1.00000000e+00   1.29592348e-01  -4.49443733e-05   5.04357289e+00   8.11168559e+00
 1.08000000e+00   0.00000000e+00   1.00000000e+00   1.26446160e-01  -5.87043102e-05   5.02115222e+00   8.11165993e+00
 1.09000000e+00   0.00000000e+00   1.00000000e+00   1.23308045e-01  -3.27477628e-05   5.00413901e+00   8.11210911e+00
 1.10000000e+00   0.00000000e+00   1.00000000e+00   1.20120926e-01   2.78750639e-05   4.99062565e+00   8.11198281e+00
 1.11000000e+00   0.00000000e+00   1.00000000e+00   1.16841154e-01   1.04746914e-04   4.97757802e+00   8.10896050e+00
 1.12000000e+00   0.00000000e+00   1.00000000e+00   1.13440312e-01   1.69954041e-04   4.96289965e+00   8.10167554e+00
 1.13000000e+00   0.00000000e+00   1.00000000e+00   1.09909429e-01   2.00280032e-04   4.94436447e+00   8.09000211e+00
 1.14000000e+00   0.00000000e+00   1.00000000e+00   1.06274528e-01   1.88252646e-04   4.92040056e+00   8.07516967e+00
 1.15000000e+00   0.00000000e+00   1.00000000e+00   1.02596862e-01   1.40697599e-04   4.89100189e+00   8.06001753e+00
 1.16000000e+00   0.00000000e+00   1.00000000e+00   9.89444163e-02   7.22265019e-05   4.85877237e+00   8.04624479e+00
