  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.90008541e-04   4.90340529e-05   9.04994358e+00   1.47324353e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.35456295e-04   1.08827438e-04   7.03504430e+00   1.30864764e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.75882989e-03   1.73198172e-04   6.15127488e+00   1.21869086e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.71369946e-03   2.26081471e-04   5.63703566e+00   1.15720860e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.78680942e-03   2.63681489e-04   5.29796928e+00   1.11073204e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   4.94789851e-03   2.61211848e-04   5.05989002e+00   1.07338639e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   6.19310059e-03   2.09939211e-04   4.88217292e+00   1.04216170e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   7.54435001e-03   1.19198620e-04   4.74200803e+00   1.01559827e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   9.07891837e-03   3.25983464e-05   4.62869909e+00   9.93396671e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.08700784e-02  -1.35009938e-05   4.53956462e+00   9.74922620e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.29195223e-02  -1.69845135e-05   4.47199823e+00   9.59493230e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   1.51706482e-02   6.60632586e-06   4.42374503e+00   9.46257688e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   1.75882555e-02   5.93170946e-05   4.38953787e+00   9.35158817e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.01638985e-02   1.42405549e-04   4.36601393e+00   9.25836107e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   2.28412921e-02   2.18173319e-04   4.35339193e+00   9.17410455e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   2.55210256e-02   2.40759917e-04   4.34751821e+00   9.09022606e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   2.81716993e-02   2.09000828e-04   4.34077528e+00   9.00846900e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   3.08689895e-02   1.51754694e-04   4.32919445e+00   8.93662633e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   3.37200401e-02   8.33721125e-05   4.31618658e+00   8.87845414e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   3.67743428e-02   1.10817013e-05   4.30757883e+00   8.82994176e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   4.00030122e-02  -4.26646056e-05   4.30658965e+00   8.78528549e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   4.33675922e-02  -5.09903828e-05   4.31125826e+00   8.74406070e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   4.68761973e-02  -4.52704765e-06   4.32008407e+00   8.71013297e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   5.05198397e-02   7.51246386e-05   4.33538416e+00   8.68131405e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   5.42027453e-02   1.47955175e-04   4.35810171e+00   8.64869555e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   5.78236137e-02   1.93252757e-04   4.38262854e+00   8.60931241e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   6.13748085e-02   2.12741091e-04   4.40227382e+00   8.56768611e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   6.48963512e-02   1.96832873e-04   4.41732819e+00   8.52711396e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   6.84042587e-02   1.33071668e-04   4.42961329e+00   8.48641747e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   7.19161478e-02   4.35117895e-05   4.43951721e+00   8.44690428e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   7.54880783e-02  -2.77624584e-05   4.44755705e+00   8.41509256e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   7.91841308e-02  -5.62456344e-05   4.45718408e+00   8.39330596e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   8.30209918e-02  -4.43367310e-05   4.47289826e+00   8.37877908e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   8.69397335e-02  -1.39443362e-06   4.49687426e+00   8.36534747e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   9.08341421e-02   6.59339931e-05   4.52711003e+00   8.34912981e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   9.46333359e-02   1.43451521e-04   4.55716167e+00   8.32966437e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   9.83455051e-02   2.00666292e-04   4.58350938e+00   8.31019690e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.01996953e-01   2.07807343e-04   4.60656344e+00   8.29130765e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.05577314e-01   1.63745797e-04   4.62760966e+00   8.27009127e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.09087660e-01   9.46702981e-05   4.64511780e+00   8.24821530e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.12589996e-01   2.45085690e-05   4.65865103e+00   8.23152601e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.16162421e-01  -3.60760219e-05   4.67249086e+00   8.22288119e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.19829144e-01  -7.11034362e-05   4.69127390e+00   8.22070479e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.23552554e-01  -5.81302335e-05   4.71762470e+00   8.22210552e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.27278086e-01   3.49569601e-06   4.74980123e+00   8.22529741e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.30964944e-01   8.42300284e-05   4.78534262e+00   8.22766971e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.34564405e-01   1.50726945e-04   4.82262250e+00   8.22713959e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.38004731e-01   1.86469588e-04   4.85807729e+00   8.21927734e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.41246049e-01   1.87125443e-04   4.88898565e+00   8.20686177e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.44334337e-01   1.50169862e-04   4.91195877e+00   8.19475234e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.47359596e-01   7.89433034e-05   4.92975738e+00   8.18748598e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.50372248e-01  -4.22507462e-06   4.94801986e+00   8.18442353e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.53365284e-01  -6.30719376e-05   4.97006403e+00   8.18403319e+00
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.56317317e-01  -7.50966376e-05   4.99609530e+00   8.18674498e+00
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.59219062e-01  -4.52349675e-05   5.02512787e+00   8.19236290e+00
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.62053614e-01   1.13576246e-05   5.05744640e+00   8.20021570e+00
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.64767777e-01   8.31409126e-05   5.09262367e+00   8.20627023e+00
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.67284047e-01   1.52565861e-04   5.12786846e+00   8.20562306e+00
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.69555017e-01   1.91318843e-04   5.15706859e+00   8.20039503e+00
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.71598862e-01   1.79553448e-04   5.17827915e+00   8.19091540e+00
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.73469964e-01   1.23911701e-04   5.19246854e+00   8.18209246e+00
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.75213774e-01   4.99144899e-05   5.20341711e+00   8.17559287e+00
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.76870697e-01  -1.84622846e-05   5.21320670e+00   8.17312472e+00
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.78492620e-01  -6.58710117e-05   5.22388943e+00   8.17691381e+00
 6.50000000e-01   0.00000000e+00   1.00000000e+00   1.80108716e-01  -7.89011139e-05   5.23883295e+00   8.18610928e+00
 6.60000000e-01   0.00000000e+00   1.00000000e+00   1.81680355e-01  -4.68773642e-05   5.26034488e+00   8.19661247e+00
 6.70000000e-01   0.00000000e+00   1.00000000e+00   1.83122371e-01   2.35789427e-05   5.28641910e+00   8.20475243e+00
 6.80000000e-01   0.00000000e+00   1.00000000e+00   1.84371304e-01   1.03627902e-04   5.31172117e+00   8.20856346e+00
 6.90000000e-01   0.00000000e+00   1.00000000e+00   1.85417427e-01   1.61374247e-04   5.33223998e+00   8.20961955e+00
 7.00000000e-01   0.00000000e+00   1.00000000e+00   1.86275081e-01   1.81978781e-04   5.34777401e+00   8.20837561e+00
 7.10000000e-01   0.00000000e+00   1.00000000e+00   1.86948309e-01   1.64911558e-04   5.35889739e+00   8.20410525e+00
 7.20000000e-01   0.00000000e+00   1.00000000e+00   1.87444094e-01   1.13230279e-04   5.36531866e+00   8.19726905e+00
 7.30000000e-01   0.00000000e+00   1.00000000e+00   1.87806086e-01   3.75556263e-05   5.36715973e+00   8.19140851e+00
 7.40000000e-01   0.00000000e+00   1.00000000e+00   1.88104961e-01  -3.62770533e-05   5.38695151e+00   8.18979157e+00
 7.50000000e-01   0.00000000e+00   1.00000000e+00   1.88384847e-01  -7.80679064e-05   5.38848067e+00   8.18873409e+00
 7.60000000e-01   0.00000000e+00   1.00000000e+00   1.88630886e-01  -7.28109499e-05   5.39184213e+00   8.19188538e+00
 7.70000000e-01   0.00000000e+00   1.00000000e+00   1.88789754e-01  -2.77701485e-05   5.39826109e+00   8.19607754e+00
 7.80000000e-01   0.00000000e+00   1.00000000e+00   1.88804508e-01   3.93448484e-05   5.40422980e+00   8.19968297e+00
 7.90000000e-01   0.00000000e+00   1.00000000e+00   1.88625286e-01   1.10798878e-04   5.40774194e+00   8.20148860e+00
 8.00000000e-01   0.00000000e+00   1.00000000e+00   1.88208306e-01   1.67326634e-04   5.40649584e+00   8.20092500e+00
 8.10000000e-01   0.00000000e+00   1.00000000e+00   1.87531813e-01   1.87016297e-04   5.39869648e+00   8.19714070e+00
 8.20000000e-01   0.00000000e+00   1.00000000e+00   1.86622466e-01   1.58384457e-04   5.38256911e+00   8.18829832e+00
 8.30000000e-01   0.00000000e+00   1.00000000e+00   1.85551155e-01   9.30213642e-05   5.41401064e+00   8.17427524e+00
 8.40000000e-01   0.00000000e+00   1.00000000e+00   1.84387468e-01   1.82875265e-05   5.41554468e+00   8.17485422e+00
